 ,1-1.txt,1-2.txt,1-3.txt,1-4.txt,1-5.txt,2-1.txt,2-2.txt,2-3.txt,2-4.txt,3-1.txt,3-2.txt,3-3.txt,4-1.txt,4-2.txt,4-3.txt,4-4.txt,5-1.txt,5-2.txt,5-3.txt,5-4.txt,6-1.txt,6-2.txt,6-3.txt,6-4.txt,6-5.txt,7-1.txt,7-2.txt,7-3.txt,7-4.txt,7-5.txt,8-1.txt,8-2.txt,8-3.txt,8-4.txt,9-1.txt,9-2.txt,9-3.txt,9-4.txt,9-5.txt,9-6.txt,10-1.txt,10-2.txt,10-3.txt,10-4.txt,10-5.txt,11.c,12.c,13.c,14.c,sum
20190011,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,0.000000,0.000000,20.000000,6.000000,75.200000
20190012,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,10.000000,20.000000,0.000000,89.200000
20190013,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,10.000000,20.000000,6.000000,94.000000
20190014,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0,1.200000, 0,1.200000, 0, 0, 0, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,0.000000,0.000000,0.000000,52.000000
20190015,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,10.000000,20.000000,0.000000,94.000000
20190016, 0, 0,1.200000, 0,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0, 0,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0,1.200000, 0,1.200000, 0, 0, 0,1.200000,1.200000, 0, 0, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,0.000000,20.000000,0.000000,63.600000
20190017,1.200000,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000, 0, 0, 0, 0, 0,1.200000,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,10.000000,0.000000,20.000000,6.000000,74.400000
20190018, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0, 0,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0, 0, 0, 0,1.200000, 0,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,0.000000,10.000000,20.000000,6.000000,76.800000
20190019, 0, 0, 0, 0,1.200000,1.200000,1.200000,1.200000, 0,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000, 0,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000, 0, 0, 0,1.200000,1.200000,1.200000, 0,1.200000, 0, 0,1.200000,1.200000,1.200000,1.200000,0.000000,0.000000,0.000000,0.000000,33.600000
20190020, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0, 0,1.200000, 0, 0,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000, 0,1.200000,1.200000,1.200000,1.200000,0.000000,0.000000,20.000000,0.000000,64.400000
